date,event_name,winner_side,team1_name,team2_name,team1_score,team2_score,match_url,map1_team1_startside,map1_team2_startside,map1_round1_winner,map1_round2_winner,map1_round3_winner,map1_round4_winner,map1_round5_winner,map1_round6_winner,map1_round7_winner,map1_round8_winner,map1_round9_winner,map1_round10_winner,map1_round11_winner,map1_round12_winner,map1_round13_winner,map1_round14_winner,map1_round15_winner,map1_round16_winner,map1_round17_winner,map1_round18_winner,map1_round19_winner,map1_round20_winner,map1_round21_winner,map1_round22_winner,map1_round23_winner,map1_round24_winner,map2_team1_startside,map2_team2_startside,map2_round1_winner,map2_round2_winner,map2_round3_winner,map2_round4_winner,map2_round5_winner,map2_round6_winner,map2_round7_winner,map2_round8_winner,map2_round9_winner,map2_round10_winner,map2_round11_winner,map2_round12_winner,map2_round13_winner,map2_round14_winner,map2_round15_winner,map2_round16_winner,map2_round17_winner,map2_round18_winner,map2_round19_winner,map2_round20_winner,map2_round21_winner,map2_round22_winner,map2_round23_winner,map2_round24_winner,map3_team1_startside,map3_team2_startside,map3_round1_winner,map3_round2_winner,map3_round3_winner,map3_round4_winner,map3_round5_winner,map3_round6_winner,map3_round7_winner,map3_round8_winner,map3_round9_winner,map3_round10_winner,map3_round11_winner,map3_round12_winner,map3_round13_winner,map3_round14_winner,map3_round15_winner,map3_round16_winner,map3_round17_winner,map3_round18_winner,map3_round19_winner,map3_round20_winner,map3_round21_winner,map3_round22_winner,map3_round23_winner,map3_round24_winner
2025-10-16T05:40:00Z,CS Asia Championships 2025,team2,Virtus.pro,3DMAX,1.0,2.0,https://www.hltv.org/matches/2386834/-,t,ct,team1,team1,team1,team2,team2,team1,team2,team2,team2,team2,team2,team1,team1,team1,team2,team1,team1,team1,team1,team1,team2,team1,team2,team2,ct,t,team1,team2,team2,team2,team2,team2,team1,team2,team2,team2,team1,team1,team2,team2,team1,team1,team1,team2,team2,team1,team2,team2,team2,team2,t,ct,team2,team2,team1,team2,team2,team2,team2,team2,team2,team2,team2,team1,team1,team1,team1,team2,team1,team1,team1,team1,team2,team2,team2,team2
2025-10-16T05:45:00Z,CS Asia Championships 2025,team1,FUT,FaZe,2.0,1.0,https://www.hltv.org/matches/2386842/-,ct,t,team1,team1,team2,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team1,team2,team2,team2,team1,team2,team2,team1,team2,team2,team1,t,ct,team2,team2,team2,team2,team2,team1,team1,team1,team1,team1,team1,team2,team1,team1,team2,team2,team1,team2,team2,team2,team2,team1,team1,team2,ct,t,team1,team1,team1,team2,team2,team2,team1,team2,team2,team2,team2,team1,team1,team1,team1,team2,team1,team1,team1,team2,team1,team2,team1,team2
2025-10-16T02:00:00Z,CS Asia Championships 2025,team2,fnatic,HEROIC,1.0,2.0,https://www.hltv.org/matches/2386841/-,t,ct,team1,team2,team2,team2,team1,team2,team2,team2,team2,team2,team2,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,ct,t,team1,team1,team1,team1,team1,team1,team1,team2,team1,team1,team1,team1,team2,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,t,ct,team1,team2,team2,team2,team2,team2,team1,team2,team1,team2,team1,team1,team2,team2,team2,team1,team2,team2,team1,team1,team1,team1,team1,team1
2025-10-16T02:30:00Z,CS Asia Championships 2025,team1,Liquid,Legacy,2.0,1.0,https://www.hltv.org/matches/2386833/-,t,ct,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,team1,team2,team2,team2,team2,team2,team2,ct,t,team1,team1,team1,team1,team1,team2,team2,team1,team2,team1,team1,team1,team2,team2,team2,team1,team1,team1,team1,team2,team2,team2,team2,team2,t,ct,team1,team2,team2,team2,team1,team1,team1,team1,team1,team2,team2,team1,team2,team2,team2,team2,team1,team1,team2,team2,team1,team1,team1,team1
2025-10-15T23:00:00Z,CS Asia Championships 2025,team1,FaZe,TYLOO,2.0,1.0,https://www.hltv.org/matches/2386840/-,t,ct,team1,team1,team1,team1,team1,team2,team1,team2,team2,team2,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,t,ct,team1,team1,team1,team1,team1,team1,team1,team1,team1,team2,team1,team2,team2,team1,team2,team2,team2,team2,team1,team1,team1,team2,team2,team2,t,ct,team2,team2,team2,team2,team2,team2,team1,team1,team1,team1,team1,team2,team2,team1,team1,team1,team1,team1,team1,team2,team1,team1,team2,team2
2025-10-15T23:05:00Z,CS Asia Championships 2025,team2,paiN,FUT,0.0,2.0,https://www.hltv.org/matches/2386839/-,ct,t,team2,team2,team1,team2,team1,team1,team1,team2,team2,team1,team2,team1,team1,team1,team1,team2,team2,team2,team1,team2,team1,team2,team1,team2,t,ct,team2,team2,team1,team2,team1,team2,team2,team2,team2,team2,team2,team2,team1,team2,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-15T06:50:00Z,CS Asia Championships 2025,team2,Lynn Vision,3DMAX,0.0,2.0,https://www.hltv.org/matches/2386832/-,t,ct,team2,team2,team2,team2,team2,team1,team2,team2,team1,team1,team1,team2,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team1,team2,ct,t,team1,team1,team2,team2,team2,team2,team2,team2,team1,team1,team2,team1,team2,team2,team2,team2,team1,team1,team1,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-15T05:00:00Z,CS Asia Championships 2025,team1,Virtus.pro,MIBR,2.0,0.0,https://www.hltv.org/matches/2386831/-,ct,t,team2,team2,team1,team1,team1,team1,team2,team2,team1,team1,team1,team1,team1,team1,team2,team1,team1,team1,team2,team2,team2,team2,team2,team2,t,ct,team2,team2,team2,team1,team1,team1,team2,team2,team2,team2,team2,team1,team2,team2,team1,team1,team1,team1,team1,team2,team1,team1,team1,team1,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-15T03:40:00Z,CS Asia Championships 2025,team1,fnatic,TYLOO,2.0,0.0,https://www.hltv.org/matches/2386837/-,t,ct,team2,team2,team1,team1,team1,team2,team1,team1,team2,team2,team2,team2,team2,team2,team2,team1,team1,team1,team1,team2,team2,team1,team1,team1,ct,t,team2,team1,team2,team1,team1,team1,team2,team2,team2,team2,team1,team1,team1,team2,team2,team1,team1,team1,team1,team1,team2,team2,team1,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-15T02:40:00Z,CS Asia Championships 2025,team2,FUT,HEROIC,0.0,2.0,https://www.hltv.org/matches/2386838/-,t,ct,team1,team2,team2,team2,team2,team2,team1,team2,team2,team1,team1,team1,team2,team2,team2,team2,team2,team1,team2,team2,team2,team2,team2,team2,ct,t,team1,team1,team2,team2,team2,team1,team1,team2,team2,team1,team1,team2,team1,team2,team2,team2,team1,team2,team2,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-14T23:30:00Z,CS Asia Championships 2025,team1,FaZe,B8,2.0,1.0,https://www.hltv.org/matches/2386836/-,t,ct,,team2,team2,team2,team1,team1,team1,team1,team2,team1,team2,team2,team1,team1,team1,team1,team2,team2,team2,team1,team1,team1,team1,team2,ct,t,,team2,team2,team2,team1,team2,team1,team1,team1,team1,team1,team2,team2,team1,team2,team2,team2,team1,team1,team1,team2,team2,team1,team1,t,ct,,team1,team1,team1,team1,team1,team2,team2,team2,team1,team2,team2,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2
2025-10-14T23:25:00Z,CS Asia Championships 2025,team1,paiN,Fluxo,2.0,1.0,https://www.hltv.org/matches/2386835/-,ct,t,,team2,team2,team2,team2,team1,team1,team1,team1,team1,team1,team2,team1,team2,team2,team2,team1,team1,team1,team2,team2,team2,team2,team2,t,ct,,team2,team2,team2,team1,team1,team1,team2,team2,team2,team2,team1,team1,team1,team1,team2,team2,team1,team1,team1,team1,team1,team2,team1,ct,t,,team1,team1,team2,team2,team1,team1,team1,team1,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2
2025-10-16T11:45:00Z,Thunderpick World Championship 2025,team1,Natus Vincere,Aurora,2.0,1.0,https://www.hltv.org/matches/2386802/-,t,ct,team2,team2,team2,team2,team2,team2,team2,team1,team2,team2,team1,team1,team2,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,ct,t,team2,team2,team2,team1,team1,team1,team1,team1,team1,team1,team2,team1,team1,team1,team1,team2,team1,team2,team1,team2,team2,team2,team2,team2,t,ct,team2,team2,team2,team2,team2,team2,team1,team2,team2,team1,team1,team1,team2,team2,team2,team1,team1,team1,team1,team1,team1,team1,team1,team1
2025-10-16T07:40:00Z,Thunderpick World Championship 2025,team2,OG,9z,1.0,2.0,https://www.hltv.org/matches/2386801/-,ct,t,team1,team1,team2,team1,team1,team2,team1,team1,team1,team2,team2,team2,team2,team2,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,t,ct,team2,team2,team2,team1,team2,team2,team2,team1,team2,team1,team1,team1,team1,team1,team2,team2,team2,team2,team1,team2,team2,team2,team2,team2,t,ct,team2,team1,team1,team1,team1,team2,team2,team2,team2,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team1,team2,team1,team2,team1
2025-10-16T04:30:00Z,Thunderpick World Championship 2025,team1,FURIA,The MongolZ,2.0,0.0,https://www.hltv.org/matches/2386800/-,t,ct,team2,team2,team1,team1,team1,team1,team1,team2,team2,team1,team2,team1,team1,team1,team2,team2,team2,team1,team2,team2,team2,team1,team2,team1,ct,t,team2,team2,team1,team2,team2,team1,team1,team1,team2,team2,team2,team2,team2,team2,team1,team1,team1,team1,team1,team2,team1,team1,team1,team1,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-15T14:10:00Z,Thunderpick World Championship 2025,team1,Aurora,Venom,2.0,0.0,https://www.hltv.org/matches/2386799/-,ct,t,team1,team2,team1,team2,team2,team2,team1,team2,team2,team1,team1,team1,team1,team1,team1,team2,team1,team1,team1,team2,team2,team2,team2,team1,t,ct,team2,team2,team2,team2,team2,team1,team1,team1,team2,team1,team1,team2,team1,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-15T10:30:00Z,Thunderpick World Championship 2025,team1,Natus Vincere,Imperial,2.0,1.0,https://www.hltv.org/matches/2386798/-,ct,t,team2,team2,team1,team1,team1,team2,team2,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team1,team2,team2,team1,team2,team2,t,ct,team1,team1,team1,team2,team2,team1,team1,team1,team2,team1,team1,team2,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,t,ct,team2,team2,team1,team1,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team1,team1,team1,team1,team2,team2,team2
2025-10-15T07:30:00Z,Thunderpick World Championship 2025,team1,The MongolZ,9z,2.0,0.0,https://www.hltv.org/matches/2386797/-,ct,t,team1,team1,team2,team1,team2,team1,team1,team2,team1,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,t,ct,team1,team2,team2,team2,team2,team1,team1,team1,team1,team1,team2,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-15T04:30:00Z,Thunderpick World Championship 2025,team1,FURIA,OG,2.0,0.0,https://www.hltv.org/matches/2386796/-,ct,t,team1,team1,team2,team2,team1,team1,team1,team2,team2,team2,team1,team1,team2,team2,team2,team1,team1,team1,team1,team2,team2,team1,team1,team2,t,ct,team2,team1,team1,team1,team2,team2,team2,team1,team1,team1,team1,team2,team1,team1,team1,team2,team2,team2,team2,team1,team1,team1,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16T13:00:00Z,ESL Challenger League Season 50 Europe Cup 3,team1,Alliance,Zero Tenacity,2.0,0.0,https://www.hltv.org/matches/2386572/-,ct,t,team1,team1,team1,team1,team2,team1,team1,team2,team2,team1,team2,team1,team2,team2,team1,team1,team1,team1,team2,team1,team2,team2,team2,team2,t,ct,team1,team1,team1,team1,team2,team1,team1,team2,team1,team2,team1,team1,team2,team2,team1,team2,team2,team1,team1,team1,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16T13:00:00Z,CCT Season 3 Europe Series 9 Closed Qualifier,team1,Fire Flux,RUBY,2.0,0.0,https://www.hltv.org/matches/2386881/-,t,ct,team2,team2,team1,team1,team1,team2,team1,team1,team2,team1,team2,team1,team2,team2,team1,team1,team1,team1,team2,team2,team2,team1,team1,team2,ct,t,team1,team1,team1,team1,team2,team1,team1,team2,team2,team2,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16T11:45:00Z,Thunderpick World Championship 2025,team1,Natus Vincere,Aurora,2.0,1.0,https://www.hltv.org/matches/2386802/-,t,ct,team2,team2,team2,team2,team2,team2,team2,team1,team2,team2,team1,team1,team2,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,ct,t,team2,team2,team2,team1,team1,team1,team1,team1,team1,team1,team2,team1,team1,team1,team1,team2,team1,team2,team1,team2,team2,team2,team2,team2,t,ct,team2,team2,team2,team2,team2,team2,team1,team2,team2,team1,team1,team1,team2,team2,team2,team1,team1,team1,team1,team1,team1,team1,team1,team1
2025-10-16T13:05:00Z,Evelone Duo Cup Season 2,team2,magixx Team,m0NESY Team,0.0,2.0,https://www.hltv.org/matches/2386962/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16T12:00:00Z,CCT Season 3 South America Series 5,team2,Gaimin Gladiators,Yawara,0.0,2.0,https://www.hltv.org/matches/2386706/-,ct,t,,team2,team1,team1,team1,team2,team2,team2,team2,team2,team2,team1,team2,team2,team2,team1,team1,team1,team1,team2,team2,team2,team2,team2,t,ct,,team1,team2,team2,team2,team2,team2,team2,team2,team1,team2,team1,team1,team2,team2,team1,team1,team1,team1,team1,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16T11:30:00Z,Exort Series 17,team1,Flame Sharks,ALGO,2.0,0.0,https://www.hltv.org/matches/2386947/-,ct,t,team1,team2,team1,team1,team1,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team1,team1,team2,team2,team2,team2,team2,team2,team2,t,ct,team1,team1,team1,team2,team2,team1,team1,team1,team1,team2,team2,team1,team1,team1,team2,team1,team1,team2,team2,team2,team2,team2,team1,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16T09:40:00Z,United21 League Season 39,team1,WOPA,G2 Ares,2.0,1.0,https://www.hltv.org/matches/2386870/-,t,ct,team2,team1,team2,team2,team2,team1,team2,team2,team2,team2,team1,team2,team1,team1,team1,team1,team2,team1,team1,team1,team1,team2,team1,team1,ct,t,team2,team2,team2,team1,team2,team2,team2,team2,team2,team1,team1,team2,team1,team1,team2,team2,team2,team1,team1,team1,team2,team2,team2,team2,ct,t,team2,team2,team2,team1,team1,team1,team1,team1,team1,team2,team1,team1,team1,team1,team1,team1,team2,team1,team2,team2,team2,team2,team2,team2
2025-10-16T11:20:00Z,Evelone Duo Cup Season 2,team2,baz Team,m0NESY Team,0.0,2.0,https://www.hltv.org/matches/2386961/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16T10:30:00Z,NODWIN Clutch Series 1,team2,SPARTA,m1x,0.0,2.0,https://www.hltv.org/matches/2386741/-,t,ct,team2,team1,team1,team1,team2,team2,team2,team1,team1,team1,team2,team1,team2,team2,team1,team2,team2,team1,team2,team2,team2,team2,team2,team2,t,ct,team1,team2,team1,team1,team1,team1,team1,team2,team1,team1,team2,team1,team2,team2,team2,team1,team2,team2,team2,team2,team2,team1,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16T09:00:00Z,ESL Challenger League Season 50 Asia-Pacific Cup 3,team2,FengDa,Rare Atom,1.0,2.0,https://www.hltv.org/matches/2386529/-,t,ct,team2,team2,team2,team2,team1,team1,team1,team1,team1,team1,team1,team2,team1,team1,team2,team1,team2,team2,team2,team1,team2,team1,team1,team2,ct,t,team2,team2,team2,team2,team2,team1,team2,team1,team2,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team1,team2,team2,team2,team2,ct,t,team2,team2,team2,team2,team2,team1,team1,team1,team2,team2,team1,team2,team1,team2,team2,team2,team1,team1,team1,team1,team2,team1,team1,team1
2025-10-16T09:00:00Z,CCT Season 3 South America Series 5,team2,RED Canids,Bounty Hunters,0.0,2.0,https://www.hltv.org/matches/2386705/-,ct,t,team2,team2,team1,team1,team1,team1,team2,team1,team1,team2,team2,team2,team1,team1,team1,team2,team1,team2,team2,team2,team1,team2,team1,team2,t,ct,team2,team2,team2,team2,team2,team1,team2,team1,team2,team1,team2,team2,team1,team2,team2,team1,team2,team1,team1,team1,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16T08:30:00Z,Exort Series 17,team2,TPuDCATb TPu,ECLOT,0.0,2.0,https://www.hltv.org/matches/2386946/-,ct,t,team1,team1,team1,team1,team2,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team1,team2,team1,team2,team2,team2,t,ct,team2,team2,team2,team2,team2,team2,team1,team2,team2,team1,team1,team2,team2,team2,team2,team2,team1,team1,team1,team1,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16T07:40:00Z,Thunderpick World Championship 2025,team2,OG,9z,1.0,2.0,https://www.hltv.org/matches/2386801/-,ct,t,team1,team1,team2,team1,team1,team2,team1,team1,team1,team2,team2,team2,team2,team2,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,t,ct,team2,team2,team2,team1,team2,team2,team2,team1,team2,team1,team1,team1,team1,team1,team2,team2,team2,team2,team1,team2,team2,team2,team2,team2,t,ct,team2,team1,team1,team1,team1,team2,team2,team2,team2,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team1,team2,team1,team2,team1
2025-10-16T09:45:00Z,Evelone Duo Cup Season 2,team2,ct0m Team,m0NESY Team,0.0,2.0,https://www.hltv.org/matches/2386960/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16T07:35:00Z,NODWIN Clutch Series 1,team1,1win,UNiTY,2.0,1.0,https://www.hltv.org/matches/2386740/-,ct,t,team2,team2,team2,team2,team1,team2,team2,team2,team1,team1,team2,team1,team2,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,t,ct,team1,team1,team2,team1,team1,team1,team2,team1,team1,team2,team1,team1,team2,team2,team2,team2,team2,team1,team1,team1,team1,team2,team2,team2,t,ct,team2,team2,team1,team1,team1,team2,team2,team1,team1,team1,team2,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2
2025-10-16T07:00:00Z,United21 League Season 39,team2,fish123,Wildcard Academy,1.0,2.0,https://www.hltv.org/matches/2386858/-,t,ct,team2,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team1,team1,team1,team1,team1,team1,team1,team1,team2,team2,team1,team1,team2,t,ct,team2,team2,team2,team1,team2,team1,team2,team2,team1,team1,team1,team1,team2,team2,team1,team1,team1,team2,team1,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16T08:40:00Z,Evelone Duo Cup Season 2,team2,baz Team,magixx Team,0.0,1.0,https://www.hltv.org/matches/2386959/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16T07:00:00Z,CCT Season 3 Europe Series 9 Closed Qualifier,team1,VRSoholics,ALLINNERS,2.0,0.0,https://www.hltv.org/matches/2386880/-,ct,t,team1,team1,team1,team2,team2,team1,team1,team2,team1,team2,team1,team2,team1,team1,team2,team1,team2,team1,team1,team2,team2,team2,team1,team2,ct,t,team2,team2,team2,team1,team1,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team1,team2,team1,team1,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16T05:40:00Z,CS Asia Championships 2025,team2,Virtus.pro,3DMAX,1.0,2.0,https://www.hltv.org/matches/2386834/-,t,ct,team1,team1,team1,team2,team2,team1,team2,team2,team2,team2,team2,team1,team1,team1,team2,team1,team1,team1,team1,team1,team2,team1,team2,team2,ct,t,team1,team2,team2,team2,team2,team2,team1,team2,team2,team2,team1,team1,team2,team2,team1,team1,team1,team2,team2,team1,team2,team2,team2,team2,t,ct,team2,team2,team1,team2,team2,team2,team2,team2,team2,team2,team2,team1,team1,team1,team1,team2,team1,team1,team1,team1,team2,team2,team2,team2
2025-10-16T08:50:00Z,CCT Season 3 Europe Series 9 Closed Qualifier,team2,SPARTA,AMKAL,0.0,1.0,https://www.hltv.org/matches/2386879/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16T05:45:00Z,CS Asia Championships 2025,team1,FUT,FaZe,2.0,1.0,https://www.hltv.org/matches/2386842/-,ct,t,team1,team1,team2,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team1,team2,team2,team2,team1,team2,team2,team1,team2,team2,team1,t,ct,team2,team2,team2,team2,team2,team1,team1,team1,team1,team1,team1,team2,team1,team1,team2,team2,team1,team2,team2,team2,team2,team1,team1,team2,ct,t,team1,team1,team1,team2,team2,team2,team1,team2,team2,team2,team2,team1,team1,team1,team1,team2,team1,team1,team1,team2,team1,team2,team1,team2
2025-10-16T07:15:00Z,Evelone Duo Cup Season 2,team1,m0NESY Team,kyousuke Team,2.0,0.0,https://www.hltv.org/matches/2386958/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16T04:00:00Z,NODWIN Clutch Series 1,team2,ARCRED,kONO,1.0,2.0,https://www.hltv.org/matches/2386739/-,ct,t,team1,team1,team1,team2,team1,team2,team1,team1,team1,team2,team1,team2,team2,team2,team2,team2,team2,team2,team1,team2,team1,team2,team2,team2,t,ct,team2,team2,team2,team1,team1,team1,team1,team1,team2,team1,team2,team2,team2,team1,team2,team2,team1,team1,team1,team1,team1,team2,team1,team2,t,ct,team1,team1,team2,team2,team2,team2,team2,team1,team2,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,team1,team2,team2,team1,team1
2025-10-16T05:00:00Z,ESL Challenger League Season 50 Oceania Cup 3,team1,Rooster,Mindfreak,2.0,0.0,https://www.hltv.org/matches/2386507/-,ct,t,team2,team2,team1,team1,team1,team1,team1,team2,team1,team1,team1,team1,team2,team2,team2,team2,team1,team1,team1,team2,team2,team1,team2,team2,t,ct,team2,team2,team2,team1,team1,team2,team2,team1,team1,team1,team1,team2,team2,team2,team1,team1,team1,team2,team1,team2,team2,team2,team1,team1,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16T04:00:00Z,European Pro League Cup 1,team2,GenOne,fish123,1.0,2.0,https://www.hltv.org/matches/2386795/-,t,ct,team2,team2,team2,team2,team1,team1,team1,team2,team1,team2,team2,team2,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,ct,t,team2,team2,team2,team1,team1,team1,team2,team1,team1,team2,team2,team1,team1,team1,team1,team1,team1,team1,team2,team1,team2,team2,team2,team2,ct,t,team2,team2,team1,team2,team2,team2,team1,team1,team1,team2,team1,team2,team2,team2,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2
2025-10-16T04:30:00Z,Thunderpick World Championship 2025,team1,FURIA,The MongolZ,2.0,0.0,https://www.hltv.org/matches/2386800/-,t,ct,team2,team2,team1,team1,team1,team1,team1,team2,team2,team1,team2,team1,team1,team1,team2,team2,team2,team1,team2,team2,team2,team1,team2,team1,ct,t,team2,team2,team1,team2,team2,team1,team1,team1,team2,team2,team2,team2,team2,team2,team1,team1,team1,team1,team1,team2,team1,team1,team1,team1,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16T04:00:00Z,United21 League Season 39,team2,AM,MASONIC,1.0,2.0,https://www.hltv.org/matches/2386859/-,t,ct,team1,team1,team2,team1,team1,team1,team1,team1,team1,team1,team1,team1,team2,team2,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,ct,t,team1,team2,team2,team2,team1,team1,team1,team1,team1,team2,team1,team1,team2,team2,team1,team2,team2,team2,team1,team2,team1,team2,team2,team2,t,ct,team1,team1,team1,team2,team2,team2,team2,team2,team1,team2,team2,team1,team2,team2,team1,team2,team2,team2,team1,team2,team2,team2,team2,team2
2025-10-16T04:00:00Z,CCT Season 3 Europe Series 9 Closed Qualifier,team2,NIP Impact,NOVAQ,0.0,2.0,https://www.hltv.org/matches/2386878/-,ct,t,team2,team2,team2,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team1,team1,team1,team2,team1,team1,team2,team2,team2,team2,team2,t,ct,team1,team1,team1,team2,team2,team2,team2,team1,team2,team2,team2,team2,team2,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16T02:00:00Z,CS Asia Championships 2025,team2,fnatic,HEROIC,1.0,2.0,https://www.hltv.org/matches/2386841/-,t,ct,team1,team2,team2,team2,team1,team2,team2,team2,team2,team2,team2,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,ct,t,team1,team1,team1,team1,team1,team1,team1,team2,team1,team1,team1,team1,team2,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,t,ct,team1,team2,team2,team2,team2,team2,team1,team2,team1,team2,team1,team1,team2,team2,team2,team1,team2,team2,team1,team1,team1,team1,team1,team1
2025-10-16T02:30:00Z,CS Asia Championships 2025,team1,Liquid,Legacy,2.0,1.0,https://www.hltv.org/matches/2386833/-,t,ct,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,team1,team2,team2,team2,team2,team2,team2,ct,t,team1,team1,team1,team1,team1,team2,team2,team1,team2,team1,team1,team1,team2,team2,team2,team1,team1,team1,team1,team2,team2,team2,team2,team2,t,ct,team1,team2,team2,team2,team1,team1,team1,team1,team1,team2,team2,team1,team2,team2,team2,team2,team1,team1,team2,team2,team1,team1,team1,team1
2025-10-15T23:00:00Z,CS Asia Championships 2025,team1,FaZe,TYLOO,2.0,1.0,https://www.hltv.org/matches/2386840/-,t,ct,team1,team1,team1,team1,team1,team2,team1,team2,team2,team2,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,t,ct,team1,team1,team1,team1,team1,team1,team1,team1,team1,team2,team1,team2,team2,team1,team2,team2,team2,team2,team1,team1,team1,team2,team2,team2,t,ct,team2,team2,team2,team2,team2,team2,team1,team1,team1,team1,team1,team2,team2,team1,team1,team1,team1,team1,team1,team2,team1,team1,team2,team2
