match_url,map1_name,map2_name,map3_name
https://www.hltv.org/matches/2386527/-,Nuke,Inferno,Dust2
https://www.hltv.org/matches/2386735/-,Train,Dust2,Overpass
https://www.hltv.org/matches/2386829/-,Dust2,Nuke,Inferno
https://www.hltv.org/matches/2386830/-,Mirage,Nuke,Inferno
https://www.hltv.org/matches/2386734/-,Ancient,Dust2,Inferno
https://www.hltv.org/matches/2386828/-,Overpass,Train,Inferno
https://www.hltv.org/matches/2386793/-,Ancient,Overpass,Nuke
https://www.hltv.org/matches/2386827/-,Inferno,Dust2,Mirage
https://www.hltv.org/matches/2386505/-,Overpass,Nuke,
https://www.hltv.org/matches/2386733/-,Ancient,Inferno,Train
https://www.hltv.org/matches/2386792/-,Ancient,Overpass,Inferno
https://www.hltv.org/matches/2386825/-,Dust2,,
https://www.hltv.org/matches/2386826/-,Mirage,,
https://www.hltv.org/matches/2386823/-,Train,,
https://www.hltv.org/matches/2386824/-,Overpass,,
https://www.hltv.org/matches/2386822/-,Nuke,,
https://www.hltv.org/matches/2386821/-,Inferno,,
https://www.hltv.org/matches/2386820/-,Mirage,,
https://www.hltv.org/matches/2386813/-,Mirage,Ancient,Overpass
https://www.hltv.org/matches/2386817/-,Inferno,Mirage,Ancient
https://www.hltv.org/matches/2386816/-,Ancient,Nuke,Mirage
https://www.hltv.org/matches/2386811/-,Inferno,Ancient,Overpass
https://www.hltv.org/matches/2386812/-,Mirage,Overpass,Nuke
https://www.hltv.org/matches/2386814/-,Inferno,Dust2,Nuke
https://www.hltv.org/matches/2386697/-,Nuke,Inferno,Ancient
https://www.hltv.org/matches/2386700/-,,,
https://www.hltv.org/matches/2386434/-,Nuke,Mirage,Dust2
https://www.hltv.org/matches/2386696/-,Nuke,Inferno,Dust2
https://www.hltv.org/matches/2386732/-,Ancient,Dust2,Mirage
https://www.hltv.org/matches/2386695/-,Mirage,Dust2,Ancient
https://www.hltv.org/matches/2386433/-,Dust2,Inferno,Nuke
https://www.hltv.org/matches/2386731/-,Ancient,Nuke,Mirage
https://www.hltv.org/matches/2386790/-,Train,Mirage,Inferno
https://www.hltv.org/matches/2386730/-,Ancient,Inferno,Train
https://www.hltv.org/matches/2386432/-,Nuke,Ancient,Dust2
https://www.hltv.org/matches/2386791/-,Nuke,Ancient,Overpass
https://www.hltv.org/matches/2386729/-,Mirage,Train,Dust2
https://www.hltv.org/matches/2386781/-,Dust2,Ancient,Inferno
https://www.hltv.org/matches/2386854/-,Ancient,Inferno,Mirage
https://www.hltv.org/matches/2386693/-,Ancient,Nuke,Mirage
https://www.hltv.org/matches/2386431/-,Ancient,Nuke,Dust2
https://www.hltv.org/matches/2386346/-,Nuke,Dust2,Mirage
https://www.hltv.org/matches/2386853/-,Nuke,,
https://www.hltv.org/matches/2386772/-,Train,Overpass,Ancient
https://www.hltv.org/matches/2385970/-,Inferno,Train,Dust2
https://www.hltv.org/matches/2386692/-,Train,Inferno,Dust2
https://www.hltv.org/matches/2386852/-,Mirage,,
https://www.hltv.org/matches/2386851/-,Mirage,,
https://www.hltv.org/matches/2386430/-,Dust2,Train,Inferno
https://www.hltv.org/matches/2386345/-,Dust2,Ancient,Mirage
https://www.hltv.org/matches/2386215/-,Overpass,Mirage,Ancient
https://www.hltv.org/matches/2386429/-,Ancient,Dust2,Train
https://www.hltv.org/matches/2385969/-,Ancient,Overpass,Nuke
https://www.hltv.org/matches/2386344/-,Dust2,Nuke,Mirage
https://www.hltv.org/matches/2386694/-,,,
https://www.hltv.org/matches/2386789/-,Mirage,Nuke,Overpass
https://www.hltv.org/matches/2386428/-,Nuke,Overpass,Mirage
https://www.hltv.org/matches/2386788/-,Dust2,Nuke,Ancient
https://www.hltv.org/matches/2386780/-,Nuke,Ancient,Inferno
https://www.hltv.org/matches/2386691/-,Ancient,Mirage,Dust2
https://www.hltv.org/matches/2386850/-,Overpass,Inferno,Dust2
https://www.hltv.org/matches/2386690/-,Nuke,Ancient,Mirage
https://www.hltv.org/matches/2386427/-,Inferno,Nuke,Mirage
https://www.hltv.org/matches/2385968/-,Mirage,Inferno,Dust2
https://www.hltv.org/matches/2386779/-,Nuke,Inferno,Ancient
https://www.hltv.org/matches/2386689/-,Dust2,Nuke,Inferno
https://www.hltv.org/matches/2386214/-,Train,Mirage,Ancient
https://www.hltv.org/matches/2386343/-,Nuke,Dust2,Ancient
https://www.hltv.org/matches/2386849/-,Dust2,Nuke,Mirage
https://www.hltv.org/matches/2386771/-,Ancient,Nuke,Dust2
https://www.hltv.org/matches/2386426/-,Overpass,Dust2,Inferno
https://www.hltv.org/matches/2386675/-,Nuke,Inferno,Mirage
https://www.hltv.org/matches/2386213/-,Mirage,Inferno,Ancient
https://www.hltv.org/matches/2385967/-,Inferno,Ancient,Nuke
https://www.hltv.org/matches/2386342/-,Overpass,Ancient,Mirage
https://www.hltv.org/matches/2386688/-,Dust2,Overpass,Mirage
https://www.hltv.org/matches/2386770/-,Dust2,Inferno,Ancient
https://www.hltv.org/matches/2386341/-,Mirage,Nuke,Dust2
https://www.hltv.org/matches/2386425/-,Nuke,Dust2,Train
https://www.hltv.org/matches/2386787/-,Overpass,Nuke,Inferno
https://www.hltv.org/matches/2386424/-,Overpass,Dust2,Mirage
https://www.hltv.org/matches/2386786/-,Mirage,Inferno,Ancient
https://www.hltv.org/matches/2386674/-,Inferno,Ancient,Mirage
https://www.hltv.org/matches/2386340/-,Inferno,Mirage,
https://www.hltv.org/matches/2386778/-,Dust2,,
https://www.hltv.org/matches/2386777/-,Mirage,,
https://www.hltv.org/matches/2386687/-,Ancient,Mirage,Dust2
https://www.hltv.org/matches/2386776/-,Dust2,,
https://www.hltv.org/matches/2386775/-,Inferno,,
https://www.hltv.org/matches/2386686/-,Dust2,Mirage,Ancient
https://www.hltv.org/matches/2386561/-,Overpass,Inferno,Nuke
https://www.hltv.org/matches/2385966/-,Overpass,Inferno,Nuke
https://www.hltv.org/matches/2386212/-,Nuke,Train,Overpass
https://www.hltv.org/matches/2386559/-,Nuke,Inferno,Dust2
https://www.hltv.org/matches/2386773/-,Dust2,,
