match_id,hltv_match_id,date,tournament,winner,score_team1,score_team2,winner_map,loser_map,decider_map,winner_head2head_freq,loser_head2head_freq,winner_head2head_percentage,loser_head2head_percentage,match_type,event_type,scraped_date,hltv_url,match_number,team1_name,team1_avg_DPR,team1_avg_KAST,team1_avg_ADR,team1_avg_KPR,team1_avg_RATING,team1_player_1_name,team1_player_1_DPR,team1_player_1_KAST,team1_player_1_ADR,team1_player_1_KPR,team1_player_1_RATING,team1_player_2_name,team1_player_2_DPR,team1_player_2_KAST,team1_player_2_ADR,team1_player_2_KPR,team1_player_2_RATING,team1_player_3_name,team1_player_3_DPR,team1_player_3_KAST,team1_player_3_ADR,team1_player_3_KPR,team1_player_3_RATING,team1_player_4_name,team1_player_4_DPR,team1_player_4_KAST,team1_player_4_ADR,team1_player_4_KPR,team1_player_4_RATING,team1_player_5_name,team1_player_5_DPR,team1_player_5_KAST,team1_player_5_ADR,team1_player_5_KPR,team1_player_5_RATING,team2_name,team2_avg_DPR,team2_avg_KAST,team2_avg_ADR,team2_avg_KPR,team2_avg_RATING,team2_player_1_name,team2_player_1_DPR,team2_player_1_KAST,team2_player_1_ADR,team2_player_1_KPR,team2_player_1_RATING,team2_player_2_name,team2_player_2_DPR,team2_player_2_KAST,team2_player_2_ADR,team2_player_2_KPR,team2_player_2_RATING,team2_player_3_name,team2_player_3_DPR,team2_player_3_KAST,team2_player_3_ADR,team2_player_3_KPR,team2_player_3_RATING,team2_player_4_name,team2_player_4_DPR,team2_player_4_KAST,team2_player_4_ADR,team2_player_4_KPR,team2_player_4_RATING,team2_player_5_name,team2_player_5_DPR,team2_player_5_KAST,team2_player_5_ADR,team2_player_5_KPR,team2_player_5_RATING
hltv_match_2385586,2385586,2025-09-14T17:30:00Z,PrizePicks NA Revival Series 9,team1,2,0,Train,Overpass,Ancient,,,0.0,0.0,bo3,online,2025-09-14T22:56:35.334481Z,https://www.hltv.org/matches/2385586/marsborne-vs-getting-info-prizepicks-na-revival-series-9,,Marsborne,0.67,70.88,73.92,0.69,1.07,wolfy,0.62,71.9,70.8,0.69,1.09,motm,0.68,71.0,75.6,0.71,1.08,viz,0.67,71.6,72.6,0.66,1.04,chop,0.66,70.2,72.6,0.67,1.04,grizz,0.7,69.7,78.0,0.72,1.08,Getting Info,0.66,72.48,77.18,0.71,1.1,marke,0.65,73.0,78.7,0.71,1.12,shane,0.67,72.2,71.6,0.67,1.04,snav,0.67,71.9,77.5,0.68,1.08,dea,0.63,73.7,81.3,0.77,1.21,slump,0.69,71.6,76.8,0.72,1.07
hltv_match_2385594,2385594,2025-09-14T15:30:00Z,CCT Season 3 South America Series 4,team1,2,1,Mirage,Inferno,Nuke,,,0.0,0.0,bo3,online,2025-09-14T22:56:46.390157Z,https://www.hltv.org/matches/2385594/fluxo-vs-players-cct-season-3-south-america-series-4,,Fluxo,0.65,71.8,76.96,0.72,1.12,art,0.7,69.2,77.5,0.69,1.08,lucaozy,0.65,72.4,77.9,0.72,1.13,zevy,0.61,72.5,73.9,0.74,1.14,decenty,0.63,73.4,78.5,0.74,1.14,kye,0.65,71.5,77.0,0.71,1.1,Players,0.68,69.32,71.22,0.64,1.01,flash,0.72,69.5,70.8,0.61,0.97,dok,0.72,68.2,75.4,0.65,1.02,mithputtini,0.63,69.1,66.5,0.65,1.01,xns,0.67,70.9,72.1,0.64,1.02,honda,0.67,68.9,71.3,0.66,1.01
hltv_match_2385471,2385471,2025-09-14T14:00:00Z,Betclic Clash Summer 2025,team2,1,2,Inferno,Dust2,Train,,,0.0,0.0,bo3,lan,2025-09-14T22:56:57.690241Z,https://www.hltv.org/matches/2385471/fnatic-vs-ecstatic-betclic-clash-summer-2025,,fnatic,0.65,72.52,77.04,0.7,1.11,krimz,0.63,71.5,74.5,0.68,1.03,blamef,0.61,74.6,85.6,0.77,1.23,fear,0.65,72.6,70.4,0.62,1.02,cypher,0.71,70.2,76.9,0.68,1.07,jambo,0.63,73.7,77.8,0.74,1.18,ECSTATIC,0.66,71.26,74.52,0.68,1.07,acor,0.63,70.0,72.3,0.7,1.06,tmb,0.7,69.3,75.0,0.64,1.02,anlelele,0.67,72.2,77.0,0.69,1.09,nut-nut,0.65,72.7,71.6,0.66,1.05,sirah,0.66,72.1,76.7,0.71,1.11
