match_id,hltv_match_id,match_number,season,date,event_name,event_type,winner,winner_side,team1_name,team2_name,team1_score,team2_score,hltv_url,detailed_stats_url,scraped_date,team1_opening_kills,team1_opening_deaths,team1_multi_kill_rounds,team1_kast_pct,team1_clutches_won,team1_kills,team1_assists,team1_deaths,team1_adr,team1_swing_pct,team1_rating_3,team2_opening_kills,team2_opening_deaths,team2_multi_kill_rounds,team2_kast_pct,team2_clutches_won,team2_kills,team2_assists,team2_deaths,team2_adr,team2_swing_pct,team2_rating_3
hltv_match_2378750,2378750,1,5,2025-01-29T05:00:00Z,CCT Season 2 Europe Series 17 Closed Qualifier,Online,ECSTATIC,team2,AMKAL,ECSTATIC,0,2,https://www.hltv.org/matches/2378750/amkal-vs-ecstatic-cct-season-2-europe-series-17-closed-qualifier,https://www.hltv.org/stats/matches/111491/amkal-vs-ecstatic,2025-11-15T15:05:41.545540Z,23,21,36,67.74,1,153,38,158,78.16,-2.12,0.97,21,23,43,70.02,3,156,51,153,77.52,2.13,1.19
hltv_match_2378417,2378417,2,5,2025-01-29T04:30:00Z,IEM Katowice 2025 Play-in,LAN,3DMAX,team1,3DMAX,FlyQuest,2,0,https://www.hltv.org/matches/2378417/3dmax-vs-flyquest-iem-katowice-2025-play-in,https://www.hltv.org/stats/matches/111490/3dmax-vs-flyquest,2025-11-15T15:05:42.519130Z,19,18,34,75.26,2,136,46,98,77.2,3.1,1.19,18,19,25,58.42,3,97,39,136,63.0,-3.22,0.8
hltv_match_2378419,2378419,3,5,2025-01-29T04:30:00Z,IEM Katowice 2025 Play-in,LAN,paiN,team1,paiN,Virtus.pro,2,0,https://www.hltv.org/matches/2378419/pain-vs-virtuspro-iem-katowice-2025-play-in,https://www.hltv.org/stats/matches/111489/pain-vs-virtuspro,2025-11-15T15:05:43.591534Z,21,15,37,82.2,5,144,54,103,83.78,3.57,1.34,15,21,23,67.78,3,103,42,144,64.6,-3.57,0.82
hltv_match_2378720,2378720,4,5,2025-01-29T04:00:00Z,European Pro League Season 22,Online,Preasy,team2,Heimo,Preasy,0,2,https://www.hltv.org/matches/2378720/heimo-vs-preasy-european-pro-league-season-22,https://www.hltv.org/stats/matches/111488/heimo-vs-preasy,2025-11-15T15:05:44.639448Z,12,23,21,62.86,1,94,34,145,62.22,-3.85,0.77,23,12,39,85.14,5,145,38,94,86.86,3.85,1.39
hltv_match_2378770,2378770,5,5,2025-01-28T21:00:00Z,CCT Season 2 North America Series 4,Online,Alter Iron,team2,regain,Alter Iron,1,2,https://www.hltv.org/matches/2378770/regain-vs-alter-iron-cct-season-2-north-america-series-4,https://www.hltv.org/stats/matches/111487/regain-vs-alter-iron,2025-11-15T15:05:45.720651Z,32,42,61,73.78,4,251,99,252,73.42,-0.27,1.04,42,32,56,72.42,4,251,81,253,76.42,0.23,1.08
hltv_match_2378872,2378872,6,5,2025-01-28T22:00:00Z,ESL Challenger League Season 49 North America,Online,Bad News Capybaras,team1,Bad News Capybaras,Marsborne,13,7,https://www.hltv.org/matches/2378872/bad-news-capybaras-vs-marsborne-esl-challenger-league-season-49-north-america,https://www.hltv.org/stats/matches/mapstatsid/191305/bad-news-capybaras-vs-marsborne,2025-11-15T15:05:46.646030Z,13,7,20,81.0,1,76,32,55,79.1,2.55,1.34,7,13,11,64.0,1,53,20,76,62.92,-2.54,0.78
hltv_match_2378867,2378867,7,5,2025-01-28T22:00:00Z,ESL Challenger League Season 49 North America,Online,NRG,team2,Vagrants,NRG,2,13,https://www.hltv.org/matches/2378867/vagrants-vs-nrg-esl-challenger-league-season-49-north-america,https://www.hltv.org/stats/matches/mapstatsid/191304/nrg-vs-vagrants,2025-11-15T15:05:47.418320Z,7,8,4,53.32,1,34,7,71,56.98,-4.96,0.69,8,7,17,96.0,2,71,34,34,95.54,4.96,1.54
hltv_match_2378871,2378871,8,5,2025-01-28T22:00:00Z,ESL Challenger League Season 49 North America,Online,Party Astronauts,team2,Chill Guys,Party Astronauts,3,13,https://www.hltv.org/matches/2378871/chill-guys-vs-party-astronauts-esl-challenger-league-season-49-north-america,https://www.hltv.org/stats/matches/mapstatsid/191303/party-astronauts-vs-chill-guys,2025-11-15T15:05:48.444263Z,5,11,9,50.0,1,37,15,71,57.82,-4.71,0.71,11,5,20,87.52,3,71,24,37,91.6,4.71,1.47
hltv_match_2378870,2378870,9,5,2025-01-28T21:45:00Z,ESL Challenger League Season 49 North America,Online,Getting Info,team2,Chicken Coop,Getting Info,5,13,https://www.hltv.org/matches/2378870/chicken-coop-vs-getting-info-esl-challenger-league-season-49-north-america,https://www.hltv.org/stats/matches/mapstatsid/191302/getting-info-vs-chicken-coop,2025-11-15T15:05:49.447361Z,8,10,10,63.34,0,47,19,69,60.94,-2.67,0.89,9,8,15,78.88,0,66,22,48,76.96,2.28,1.2
hltv_match_2378868,2378868,10,5,2025-01-28T21:45:00Z,ESL Challenger League Season 49 North America,Online,Nouns,team2,Aetheris,Nouns,5,13,https://www.hltv.org/matches/2378868/aetheris-vs-nouns-esl-challenger-league-season-49-north-america,https://www.hltv.org/stats/matches/mapstatsid/191301/nouns-vs-aetheris,2025-11-15T15:05:50.542957Z,7,11,7,58.9,1,48,9,77,58.88,-3.37,0.84,11,7,17,85.54,0,77,16,48,87.9,3.37,1.43
hltv_match_2378860,2378860,11,5,2025-01-28T21:00:00Z,ESL Challenger League Season 49 North America,Online,Vagrants,team2,NRG,Vagrants,8,13,https://www.hltv.org/matches/2378860/nrg-vs-vagrants-esl-challenger-league-season-49-north-america,https://www.hltv.org/stats/matches/mapstatsid/191298/vagrants-vs-nrg,2025-11-15T15:05:51.489954Z,11,10,11,61.9,2,53,23,81,61.58,-1.36,0.86,10,11,22,80.98,0,81,26,53,79.82,1.36,1.22
hltv_match_2378865,2378865,12,5,2025-01-28T21:00:00Z,ESL Challenger League Season 49 North America,Online,Marsborne,team1,Marsborne,Bad News Capybaras,13,8,https://www.hltv.org/matches/2378865/marsborne-vs-bad-news-capybaras-esl-challenger-league-season-49-north-america,https://www.hltv.org/stats/matches/mapstatsid/191297/bad-news-capybaras-vs-marsborne,2025-11-15T15:05:52.539838Z,12,9,20,68.58,0,74,38,64,75.52,2.29,1.18,9,12,16,62.86,0,64,16,74,72.22,-2.3,0.93
